AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2022-23,40,5.8,5.4,6,8.5,14,2398,1500,3393,40055,0.84
National,,All,2022-23,41,5.8,5.5,6.1,8.8,18,1413,931,2060,23540,0.5
National,,All,2021-22,40,5.7,5.4,14.2,20.6,20,9743,11177,14177,68969,> 100%
National,,All,2021-22,41,5.8,5.5,13.1,19.1,11,8853,9878,12866,67422,> 100%
National,,All,2021-22,42,5.9,5.6,12.4,17.8,15,8255,8941,11899,66923,> 100%
National,,All,2021-22,43,6,5.7,11.8,16.6,14,7789,7959,11033,66324,> 100%
National,,All,2021-22,44,6.1,5.8,11,15.6,7,7302,7287,10382,66495,> 100%
National,,All,2021-22,45,6.2,5.9,10.7,15.3,26,7205,7159,10275,67324,> 100%
National,,All,2021-22,46,6.3,6,11,15.7,16,7325,7309,10500,66813,> 100%
National,,All,2021-22,47,6.4,6.1,11.2,16.4,19,7590,7887,11102,67821,> 100%
National,,All,2021-22,48,6.5,6.2,11.9,17.4,37,8324,8781,12154,70021,> 100%
National,,All,2021-22,49,6.6,6.3,12.6,18.4,56,8987,9734,13212,71987,> 100%
National,,All,2021-22,50,6.7,6.4,13.2,19.2,58,9303,10249,13651,71176,> 100%
National,,All,2021-22,51,6.8,6.5,13.2,19.4,86,9418,10455,14020,72132,> 100%
National,,All,2021-22,52,6.9,6.6,13.7,20.7,152,10047,11666,15401,74223,> 100%
National,,All,2021-22,1,7,6.7,15,23.9,187,11781,15086,18993,79543,> 100%
National,,All,2021-22,2,7.1,6.7,16.1,26.8,141,13518,19031,22759,84825,> 100%
National,,All,2021-22,3,7.1,6.8,17,29.2,148,14384,21274,24884,85339,> 100%
National,,All,2021-22,4,7.2,6.9,16.9,28.7,92,14222,20905,24367,84790,> 100%
National,,All,2021-22,5,7.2,6.9,16.4,27.3,88,13185,18693,22099,80928,> 100%
National,,All,2021-22,6,7.2,6.9,14.5,23.9,85,11050,15260,18385,76828,> 100%
National,,All,2021-22,7,7.2,6.9,13,20.7,67,9097,11499,14582,70615,> 100%
National,,All,2021-22,8,7.2,6.9,11.2,17.2,64,7274,8254,11347,65799,> 100%
National,,All,2021-22,9,7.2,6.9,9.6,14.2,62,6091,6017,9094,64219,> 100%
National,,All,2021-22,10,7.2,6.9,7.9,11.7,64,4810,4379,7212,61633,> 100%
National,,All,2021-22,11,7.1,6.8,7.4,10.1,64,4391,3108,6118,60350,> 100%
National,,All,2021-22,12,7.1,6.8,6.9,9.3,84,3921,2490,5401,58356,> 100%
National,,All,2021-22,13,7,6.7,6.3,8.3,75,3592,1897,4815,57784,> 100%
National,,All,2021-22,14,7,6.7,5.9,7.7,95,3319,1539,4402,57524,> 100%
National,,All,2021-22,15,6.9,6.6,6.1,7.6,93,3391,1397,4376,57565,> 100%
National,,All,2021-22,16,6.8,6.5,6,7.5,104,3299,1340,4261,56519,> 100%
National,,All,2021-22,17,6.7,6.4,5.9,7.5,95,3299,1416,4312,57122,> 100%
National,,All,2021-22,18,6.6,6.3,5.8,7.4,82,3231,1420,4261,57327,> 100%
National,,All,2021-22,19,6.5,6.2,6,7.9,96,3371,1658,4578,57712,> 100%
National,,All,2021-22,20,6.4,6.1,6.3,8.3,89,3502,1727,4781,57412,> 100%
National,,All,2021-22,21,6.3,6,6,8.2,83,3341,1926,4662,56864,> 100%
National,,All,2021-22,22,6.2,5.9,6.3,8.5,81,3505,1974,4891,57310,> 100%
National,,All,2021-22,23,6.1,5.8,6.2,8.5,71,3502,2102,4935,57765,> 100%
National,,All,2021-22,24,6,5.7,6.3,8.8,73,3547,2172,5026,57437,> 100%
National,,All,2021-22,25,5.9,5.6,6.1,8.6,34,3491,2293,5011,57959,> 100%
National,,All,2021-22,26,5.8,5.5,6,8.7,40,3445,2379,5021,57689,> 100%
National,,All,2021-22,27,5.7,5.4,6.2,9,35,3546,2545,5211,57740,> 100%
National,,All,2021-22,28,5.7,5.3,6.1,9.4,18,3541,2871,5467,57963,> 100%
National,,All,2021-22,29,5.6,5.3,6.4,9.9,24,3746,3156,5865,59266,> 100%
National,,All,2021-22,30,5.5,5.2,6.5,10.2,21,3761,3320,5939,58113,> 100%
National,,All,2021-22,31,5.5,5.2,6.4,10.1,15,3720,3264,5874,58402,> 100%
National,,All,2021-22,32,5.5,5.2,6.5,10.1,13,3760,3182,5793,57635,> 100%
National,,All,2021-22,33,5.5,5.2,6.4,9.8,19,3638,3062,5618,57288,> 100%
National,,All,2021-22,34,5.5,5.2,6.3,9.6,13,3575,2906,5441,56775,> 100%
National,,All,2021-22,35,5.5,5.2,6.1,9.3,12,3421,2778,5234,56165,> 100%
