DATE,LNU03000018
1972-01-01,247
1972-02-01,286
1972-03-01,241
1972-04-01,221
1972-05-01,198
1972-06-01,424
1972-07-01,383
1972-08-01,303
1972-09-01,248
1972-10-01,253
1972-11-01,288
1972-12-01,262
1973-01-01,199
1973-02-01,224
1973-03-01,197
1973-04-01,234
1973-05-01,203
1973-06-01,438
1973-07-01,407
1973-08-01,262
1973-09-01,288
1973-10-01,220
1973-11-01,249
1973-12-01,226
1974-01-01,248
1974-02-01,230
1974-03-01,260
1974-04-01,211
1974-05-01,222
1974-06-01,462
1974-07-01,463
1974-08-01,280
1974-09-01,291
1974-10-01,288
1974-11-01,324
1974-12-01,289
1975-01-01,333
1975-02-01,283
1975-03-01,306
1975-04-01,300
1975-05-01,277
1975-06-01,493
1975-07-01,421
1975-08-01,355
1975-09-01,321
1975-10-01,304
1975-11-01,286
1975-12-01,279
1976-01-01,292
1976-02-01,265
1976-03-01,287
1976-04-01,299
1976-05-01,292
1976-06-01,502
1976-07-01,432
1976-08-01,389
1976-09-01,312
1976-10-01,299
1976-11-01,311
1976-12-01,270
1977-01-01,293
1977-02-01,277
1977-03-01,284
1977-04-01,248
1977-05-01,269
1977-06-01,548
1977-07-01,516
1977-08-01,423
1977-09-01,345
1977-10-01,336
1977-11-01,367
1977-12-01,332
1978-01-01,342
1978-02-01,332
1978-03-01,345
1978-04-01,306
1978-05-01,328
1978-06-01,530
1978-07-01,512
1978-08-01,358
1978-09-01,313
1978-10-01,294
1978-11-01,345
1978-12-01,305
1979-01-01,280
1979-02-01,326
1979-03-01,275
1979-04-01,311
1979-05-01,308
1979-06-01,501
1979-07-01,458
1979-08-01,334
1979-09-01,296
1979-10-01,322
1979-11-01,300
1979-12-01,286
1980-01-01,298
1980-02-01,324
1980-03-01,278
1980-04-01,231
1980-05-01,304
1980-06-01,496
1980-07-01,507
1980-08-01,343
1980-09-01,353
1980-10-01,335
1980-11-01,322
1980-12-01,325
1981-01-01,336
1981-02-01,305
1981-03-01,303
1981-04-01,304
1981-05-01,285
1981-06-01,498
1981-07-01,462
1981-08-01,407
1981-09-01,321
1981-10-01,383
1981-11-01,359
1981-12-01,319
1982-01-01,304
1982-02-01,331
1982-03-01,339
1982-04-01,305
1982-05-01,373
1982-06-01,543
1982-07-01,540
1982-08-01,452
1982-09-01,408
1982-10-01,381
1982-11-01,400
1982-12-01,373
1983-01-01,319
1983-02-01,306
1983-03-01,287
1983-04-01,330
1983-05-01,351
1983-06-01,612
1983-07-01,542
1983-08-01,471
1983-09-01,419
1983-10-01,365
1983-11-01,358
1983-12-01,348
1984-01-01,304
1984-02-01,285
1984-03-01,298
1984-04-01,307
1984-05-01,307
1984-06-01,464
1984-07-01,505
1984-08-01,398
1984-09-01,371
1984-10-01,337
1984-11-01,332
1984-12-01,325
1985-01-01,315
1985-02-01,317
1985-03-01,312
1985-04-01,296
1985-05-01,331
1985-06-01,472
1985-07-01,524
1985-08-01,341
1985-09-01,344
1985-10-01,349
1985-11-01,338
1985-12-01,345
1986-01-01,319
1986-02-01,297
1986-03-01,354
1986-04-01,346
1986-05-01,342
1986-06-01,514
1986-07-01,462
1986-08-01,351
1986-09-01,339
1986-10-01,293
1986-11-01,269
1986-12-01,279
1987-01-01,287
1987-02-01,290
1987-03-01,287
1987-04-01,279
1987-05-01,305
1987-06-01,431
1987-07-01,411
1987-08-01,302
1987-09-01,272
1987-10-01,302
1987-11-01,287
1987-12-01,285
1988-01-01,257
1988-02-01,284
1988-03-01,278
1988-04-01,221
1988-05-01,297
1988-06-01,387
1988-07-01,409
1988-08-01,302
1988-09-01,275
1988-10-01,252
1988-11-01,252
1988-12-01,240
1989-01-01,265
1989-02-01,269
1989-03-01,255
1989-04-01,236
1989-05-01,285
1989-06-01,478
1989-07-01,378
1989-08-01,291
1989-09-01,322
1989-10-01,287
1989-11-01,282
1989-12-01,257
1990-01-01,215
1990-02-01,220
1990-03-01,237
1990-04-01,184
1990-05-01,246
1990-06-01,406
1990-07-01,371
1990-08-01,297
1990-09-01,223
1990-10-01,248
1990-11-01,294
1990-12-01,272
1991-01-01,251
1991-02-01,244
1991-03-01,303
1991-04-01,235
1991-05-01,244
1991-06-01,395
1991-07-01,366
1991-08-01,290
1991-09-01,266
1991-10-01,279
1991-11-01,246
1991-12-01,238
1992-01-01,261
1992-02-01,290
1992-03-01,265
1992-04-01,244
1992-05-01,327
1992-06-01,486
1992-07-01,438
1992-08-01,326
1992-09-01,338
1992-10-01,315
1992-11-01,314
1992-12-01,288
1993-01-01,282
1993-02-01,288
1993-03-01,324
1993-04-01,325
1993-05-01,336
1993-06-01,477
1993-07-01,406
1993-08-01,268
1993-09-01,268
1993-10-01,249
1993-11-01,292
1993-12-01,245
1994-01-01,243
1994-02-01,250
1994-03-01,268
1994-04-01,258
1994-05-01,316
1994-06-01,470
1994-07-01,434
1994-08-01,299
1994-09-01,244
1994-10-01,325
1994-11-01,256
1994-12-01,234
1995-01-01,226
1995-02-01,275
1995-03-01,247
1995-04-01,283
1995-05-01,327
1995-06-01,506
1995-07-01,474
1995-08-01,394
1995-09-01,328
1995-10-01,286
1995-11-01,273
1995-12-01,286
1996-01-01,248
1996-02-01,230
1996-03-01,274
1996-04-01,283
1996-05-01,295
1996-06-01,436
1996-07-01,435
1996-08-01,381
1996-09-01,272
1996-10-01,306
1996-11-01,276
1996-12-01,279
1997-01-01,272
1997-02-01,290
1997-03-01,285
1997-04-01,254
1997-05-01,307
1997-06-01,439
1997-07-01,379
1997-08-01,309
1997-09-01,267
1997-10-01,244
1997-11-01,280
1997-12-01,299
1998-01-01,240
1998-02-01,260
1998-03-01,261
