Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
60,30,20,48,19,45,20,45,19,46,17,55,7,84,17,42,18,49,17,46,7,734,92,7,63,5,13,13
60,30,20,47,19,45,20,45,19,46,17,55,7,84,17,42,18,49,17,46,6,734,92,7,59,5,19,19
50,30,20,46,19,45,20,45,19,46,17,55,7,83,17,41,18,49,17,46,6,734,92,6,55,5,29,29
50,40,20,46,19,45,20,45,19,46,17,55,6,83,17,41,18,49,17,45,6,734,92,6,52,5,45,45
60,40,20,46,19,45,20,45,19,46,17,55,6,85,17,41,18,49,17,45,6,734,92,6,48,5,10,10
50,40,20,46,19,44,20,45,19,46,17,55,6,86,17,41,18,49,17,45,6,734,92,5,44,5,45,45
60,50,20,46,19,44,20,45,19,46,17,55,6,86,17,41,18,49,17,45,6,734,92,5,40,5,47,47
60,50,20,46,19,44,20,45,19,46,17,55,6,86,17,41,18,49,17,45,6,734,92,5,40,5,33,33
60,40,20,46,19,44,20,45,19,46,17,55,6,87,17,41,18,49,17,45,6,734,92,5,40,5,31,31
70,40,20,46,19,44,20,45,19,46,17,55,6,88,17,42,18,49,17,45,6,734,92,6,40,5,3,3
230,70,20,46,19,44,20,45,19,46,17,55,6,88,17,43,18,49,17,45,6,734,91,6,40,5,10,10
580,60,20,46,19,44,20,45,19,46,17,55,6,88,18,44,18,49,17,45,6,734,91,6,40,5,9,9
430,50,20,48,20,44,20,45,19,46,17,55,6,89,18,45,18,49,17,45,6,734,91,6,40,5,34,34
250,40,20,53,20,45,20,45,19,47,17,55,6,88,18,46,18,49,17,45,6,735,90,6,40,5,19,19
100,10,20,56,20,46,20,48,19,49,17,56,6,88,18,46,18,49,17,45,6,735,90,6,40,4,38,38
100,10,21,54,20,47,20,48,19,48,17,56,6,88,18,45,18,49,17,45,6,735,90,6,40,4,25,25
90,10,21,53,20,47,20,49,19,48,17,56,6,88,18,44,18,50,17,45,6,735,89,6,40,4,36,36
70,30,21,54,20,47,20,48,19,48,17,57,6,87,18,44,18,50,17,45,6,735,88,6,40,4,50,50
80,30,21,51,20,46,20,48,19,49,17,57,5,87,18,43,19,50,17,45,6,735,88,6,40,4,19,19
140,40,21,50,20,46,20,48,19,50,18,71,5,87,18,43,19,50,17,45,6,735,88,6,40,4,39,39
120,20,21,48,20,46,20,47,19,50,18,79,5,88,18,42,19,50,17,45,6,735,88,6,40,4,47,47
190,40,21,48,20,46,20,47,19,50,18,80,6,87,18,42,19,50,17,45,6,735,88,6,40,4,11,11
110,40,21,47,20,45,20,47,19,49,18,79,6,87,18,44,19,50,17,45,6,735,87,6,40,4,33,33
110,40,21,47,20,45,20,47,19,48,18,78,6,86,18,44,19,50,17,45,6,735,87,6,40,4,6,6
110,30,21,46,20,45,20,46,19,48,18,82,6,86,18,43,19,50,17,45,6,735,87,6,40,4,13,13
110,20,21,46,20,45,20,46,19,48,18,83,6,86,18,43,19,50,17,45,6,735,87,6,40,4,19,19
100,30,21,46,21,45,20,46,19,48,18,71,6,86,18,44,19,50,17,45,6,736,87,6,40,4,1,1
100,20,21,46,21,45,20,46,19,48,19,62,5,86,18,44,19,49,17,45,6,736,88,6,40,4,19,19
100,20,21,46,21,45,20,46,19,48,19,59,6,87,18,44,19,49,17,45,6,736,88,6,40,4,43,43
100,20,22,45,21,45,20,46,20,48,19,57,6,86,18,44,19,49,17,45,6,736,88,6,40,4,17,17
110,20,22,45,21,45,20,46,20,48,19,55,6,86,18,43,19,49,17,45,6,736,88,6,40,4,24,24
400,20,22,45,21,44,20,46,20,48,19,54,6,86,18,43,19,49,17,45,6,736,88,6,40,4,30,30
400,20,22,45,21,44,20,46,20,48,19,53,6,86,18,43,19,49,17,45,6,736,88,6,40,4,25,25
390,30,22,45,21,44,20,46,20,48,19,52,6,85,18,43,19,49,17,45,6,736,88,6,40,4,9,9
240,20,22,44,21,44,20,46,21,47,19,52,6,84,18,43,19,49,17,44,6,736,87,7,40,4,41,41
60,20,22,44,21,44,20,46,21,47,19,52,6,84,18,43,19,49,17,44,6,736,87,7,40,4,33,33
60,20,22,44,21,44,20,46,21,47,19,51,6,85,18,43,19,49,17,44,6,736,87,7,40,4,40,40
60,20,22,44,21,44,20,46,21,46,19,51,6,86,18,43,19,50,17,45,6,736,88,7,37,4,5,5
50,10,22,44,21,44,20,46,21,46,19,51,6,86,18,43,19,50,17,45,6,736,89,7,34,4,36,36
70,20,22,44,21,44,20,46,21,47,19,51,6,87,18,43,19,50,17,45,6,737,90,6,31,4,21,21
60,20,22,44,21,44,20,46,21,47,19,51,6,87,18,43,19,51,17,46,6,737,90,6,28,4,41,41
40,20,21,44,21,44,20,46,21,47,19,51,6,88,18,44,19,51,17,46,5,737,91,6,25,4,32,32
40,10,21,45,21,44,20,46,21,47,19,51,6,89,18,44,19,51,17,46,5,737,92,6,22,4,39,39
30,20,21,45,21,44,20,46,21,47,19,50,6,89,18,44,19,52,17,46,5,737,92,6,25,4,28,28
40,20,21,45,21,44,20,46,20,47,19,50,6,89,18,44,19,52,17,46,5,737,92,6,28,4,26,26
50,20,21,45,21,44,20,46,20,47,19,50,6,89,18,45,19,52,17,46,5,737,92,6,31,4,39,39
310,10,21,45,21,44,20,46,20,47,19,50,5,89,18,45,19,52,17,46,5,737,92,6,34,4,1,1
380,20,21,45,20,44,20,46,20,47,19,50,5,89,18,45,19,52,17,46,5,737,92,6,37,4,24,24
380,20,21,45,20,44,20,46,21,48,19,50,5,89,18,45,19,52,17,46,5,738,92,6,40,4,37,37
370,20,21,45,20,44,20,46,21,47,19,50,5,91,18,46,19,52,17,46,5,738,92,6,40,4,35,35
120,10,21,46,20,44,20,46,22,47,19,50,5,91,18,46,19,53,17,46,5,738,92,6,40,4,24,24
50,0,21,46,20,44,20,46,22,47,19,50,5,91,18,46,19,54,17,46,5,738,92,6,40,4,43,43
40,0,21,46,20,44,20,46,22,46,19,50,5,92,18,46,19,54,17,46,5,738,92,5,40,4,22,22
50,0,21,46,20,44,20,46,22,46,19,50,4,92,18,46,19,54,17,47,5,738,92,5,40,4,12,12
40,0,21,46,20,44,20,46,22,46,19,50,4,92,18,46,19,55,17,47,5,738,92,5,40,4,4,4
50,0,21,46,20,45,20,45,21,46,19,50,4,92,18,46,19,55,17,47,5,738,92,5,40,4,5,5
50,0,21,46,20,45,20,45,21,46,19,50,4,93,18,46,19,55,17,47,5,738,92,5,40,4,16,16
50,0,21,46,20,44,20,46,21,46,19,50,4,94,18,46,19,55,17,47,5,739,92,4,40,4,26,26
40,0,21,46,20,44,20,46,21,46,19,50,4,93,18,46,19,55,17,48,5,739,92,4,40,4,33,33
40,0,21,46,20,44,20,45,21,46,19,50,4,93,18,46,19,55,17,48,5,739,92,4,40,4,20,20
30,0,21,46,20,45,20,45,21,46,19,50,4,93,18,46,19,55,17,48,5,739,92,4,40,4,46,46
20,0,20,46,20,45,20,45,21,46,19,50,4,93,18,46,19,55,17,48,5,739,92,4,40,4,15,15
20,0,20,46,20,45,20,45,20,46,19,50,4,93,18,46,19,55,17,48,5,739,92,5,40,4,23,23
40,0,20,46,20,45,20,45,20,46,19,50,4,94,18,46,19,55,17,48,5,739,92,5,40,4,17,17
50,0,20,46,20,45,20,45,20,46,19,50,4,95,18,46,19,55,17,48,5,739,93,5,40,4,33,33
50,0,20,46,20,45,20,46,20,46,19,50,4,95,18,46,19,55,17,48,5,739,93,6,40,4,13,13
40,0,20,46,20,45,20,46,20,46,19,50,4,95,18,46,19,55,17,48,5,740,93,6,40,4,24,24
