0,1,2,3,4,5,6,7,8,9
2289,1645,925,2695,2585,2480,2901,3275,614,2661
2612,1653,1684,-334,502,-42,3267,304,2902,2708
1886,1749,1314,624,1726,2014,3131,1628,779,2559
1868,2963,277,1988,2198,2358,323,187,2083,1687
1154,137,383,2798,1369,917,472,212,831,2769
2891,3046,1562,1393,1381,2491,123,109,2630,894
1517,1141,457,1968,1561,2278,-124,389,1677,1876
2542,634,401,646,495,2402,213,706,2508,713
2624,1971,800,2017,2828,2283,2676,1034,1716,792
1131,604,1021,1370,482,1216,-24,2787,1541,546
2801,2620,343,13,1548,2117,3034,1221,2499,1669
1318,2945,623,598,535,2633,1392,1910,688,1867
658,2428,2446,2656,41,977,1847,2729,2086,3009
685,2538,1136,2731,413,-58,1141,386,348,17
2658,995,1890,1316,1914,1828,2209,1914,1005,2011
2697,2908,2300,2562,1101,-98,2510,1620,2466,1584
240,2663,462,405,237,1975,1100,-291,257,770
379,533,609,2805,940,2342,257,1603,2667,715
1253,15,1472,383,88,2777,1136,849,3087,1693
1929,1201,2706,2056,-219,47,2088,1859,2312,1245
2702,1451,189,2454,664,852,2837,886,1338,1679
2256,1716,1129,1847,1351,1231,521,1866,2611,-155
2349,382,2393,385,-14,159,1650,1634,1502,2393
1205,528,383,1821,1474,-66,1208,3435,2883,2039
214,1906,2032,2785,382,842,80,723,866,1302
1211,2770,2115,3484,213,1229,585,2469,1466,2635
1614,606,1902,674,597,811,2747,903,2233,2023
2520,1826,841,1558,-33,2974,2140,1549,2577,1312
2749,1493,-179,1750,1160,675,2305,291,2952,2078
1912,1276,173,73,57,1404,1402,1192,1048,1883
1351,1182,-62,2116,2368,52,1935,288,1889,1819
2047,98,492,2675,1604,2484,2057,2214,1169,2225
1724,2150,1446,610,2711,2523,3171,2300,1572,2016
2016,343,2982,2948,2484,1246,405,518,1793,897
2824,1712,2248,2276,2727,2919,1812,-76,1903,1769
2516,2541,2013,2195,431,2461,2612,247,1010,2446
2559,2430,945,1557,1000,226,2684,-85,2120,1827
85,1376,223,1733,2571,407,541,678,3030,1615
1948,2455,1351,477,1451,2386,323,888,3245,889
572,1312,1135,2627,408,2638,2726,232,1101,1025
2084,1864,174,1803,1986,825,196,844,725,330
527,2654,2028,923,544,2630,651,767,138,438
1830,1029,2762,273,191,2687,1363,1695,2975,1267
1434,1321,158,2190,2641,2098,762,2976,2770,2153
590,1799,798,739,731,1316,2257,1877,598,2132
2052,81,1130,1142,2049,2287,3016,1693,2241,270
3061,1951,2900,1439,180,1122,1621,2478,2610,2604
2492,1516,1194,553,2827,1645,1117,2382,1433,608
459,1509,817,847,2829,1706,1679,2382,2401,-51
921,3182,270,1081,638,1519,1134,1463,1829,1749
2392,1606,1123,2868,1269,3257,2457,1695,-64,375
1711,611,2379,159,525,330,-27,237,2671,1379
1764,1460,1500,2810,2172,1218,615,394,2601,680
1721,582,2802,-45,1408,1441,1833,2898,727,2841
2410,1338,278,3227,1808,88,1723,1908,701,2574
575,1515,2417,1484,3066,775,1437,2471,2507,979
2206,515,2628,-445,2189,1650,1542,2059,2168,206
503,1169,907,2471,272,242,805,1191,2629,1286
1058,2398,2059,455,2454,2853,2268,1502,1531,971
3111,1263,1018,1001,715,405,513,2488,1942,1844
1004,1609,2435,581,-634,980,667,199,2121,2406
1081,1212,696,2549,351,2828,1311,905,2889,2521
672,1651,685,2571,1552,277,356,2513,2468,1670
1472,118,2770,1334,969,2682,702,1580,1197,801
-207,1557,2044,2297,1313,1428,2700,1080,1362,2529
1137,1676,1367,862,1955,2716,548,2391,2957,2629
58,1843,1436,1254,1784,2379,1028,24,1810,2120
2712,69,1445,2433,2336,3015,2911,2731,423,2358
321,2531,208,2223,297,2257,1663,26,378,2637
426,3021,2732,1167,800,2964,2574,403,2211,725
1820,174,2165,2812,2236,1710,529,1514,1242,1338
1898,551,1229,1721,2294,2089,1325,314,761,185
1758,322,2844,1914,-1,2040,1750,496,1139,1202
1620,3060,677,2926,2200,1096,2857,2815,759,358
1259,2746,2092,375,1407,810,2617,1741,2165,2032
-60,326,1948,2759,646,2671,2622,915,683,2314
198,493,2807,916,1641,783,2159,2899,280,1610
2209,1977,2349,468,-1,211,492,826,2084,931
807,641,520,2692,2827,448,1135,2547,623,454
1527,1698,1694,2247,788,2840,639,283,1618,1414
2328,-56,309,1610,-65,1302,1215,2041,236,2002
2884,436,2357,987,2693,1729,1171,906,2067,418
436,2694,2510,176,169,2779,1349,2353,1790,1827
2060,328,383,2575,156,1166,3113,2902,2001,793
1745,633,2302,3217,2415,762,770,705,1039,2092
1178,1549,254,1408,645,550,2163,98,2637,397
2283,1920,1269,1975,2651,2066,328,1818,2082,512
1466,2004,2685,66,168,309,903,1184,2554,1564
371,1194,1369,1096,1925,416,2563,2314,356,925
2369,242,2472,2545,13,2797,1698,1934,2819,264
1883,1641,2351,2126,1201,1927,558,2882,166,3180
2957,1468,1006,469,1409,907,481,178,-171,2266
1407,893,1420,250,2511,2513,285,480,1278,1269
1023,97,2778,201,2447,2247,2892,2439,2631,1249
-560,2638,2492,459,3022,648,949,1105,2034,448
1403,2043,2053,3120,408,237,2491,3135,266,2826
2432,3063,1948,577,2258,2844,584,2003,1851,1832
723,2980,2586,1749,2572,545,2578,2140,1905,-496
1849,280,2270,633,2708,2163,341,1271,1346,783
415,1908,1935,1265,2448,2806,1418,1880,1767,1000
2134,2814,2080,2641,2046,1237,1539,2528,2870,1207
1844,160,1281,2193,1999,2038,1279,943,2869,2191
161,1208,694,2206,1908,239,744,1615,2340,1625
2111,2028,814,1203,123,2949,548,2294,3053,2374
1165,327,1416,1890,368,3051,904,118,-34,610
1833,1359,1962,2009,653,1075,1562,1913,1043,1102
2269,2336,134,-526,2517,2457,719,1711,1179,1413
948,2570,1044,2702,994,1943,1246,639,2684,979
2308,1012,2849,724,2347,3077,2480,2173,1041,1765
216,2828,2099,545,2715,2915,992,1582,108,3087
1021,678,707,2874,2006,3239,2387,2543,1344,2633
1630,1075,1315,2772,1334,2567,6,616,1982,590
3057,2381,1663,2966,1327,2201,1852,2140,1492,2295
2766,862,2373,2820,2711,1656,2206,2646,556,2432
1539,216,2225,3007,1561,2306,2430,1289,2175,1825
2465,-93,1535,1883,129,1385,2054,1830,1031,984
1257,1485,620,623,2265,478,20,2496,1507,1120
1201,2617,657,2496,507,1877,2459,2215,726,2261
2217,1744,1241,2021,1144,588,579,2605,84,2361
477,1367,2522,2312,998,1637,2154,1223,2848,1545
1232,1002,2098,64,829,2848,2571,2396,2231,2333
1047,656,2915,72,1857,2567,1995,2667,279,673
1675,2917,1569,1380,1047,880,1236,1108,1627,59
80,-102,791,1970,658,-46,953,-198,3355,2245
1548,1783,2031,1174,356,351,1614,1472,1629,4134
1959,1729,1715,1938,1566,1539,1646,2249,2407,1390
2031,120,1244,701,2326,1289,857,2149,1002,900
2263,988,1422,608,3066,1990,1501,2915,245,2961
2991,-2,946,1415,2563,1327,1186,1734,133,2620
1569,117,2058,-457,1998,2213,2305,952,1198,2096
73,2845,1167,2405,440,1203,2702,2591,929,1219
2808,191,2678,934,390,773,289,855,2210,2520
512,2614,122,2802,2246,2086,1808,2562,1140,869
1952,646,2881,2619,1760,908,2095,-510,611,1437
3199,3008,3097,2152,1335,2294,1317,2588,2237,-18
607,371,603,2548,-252,842,2869,1212,754,1748
1225,2289,1227,3106,3304,-47,436,2290,1205,333
2083,2547,503,313,2754,1134,800,2497,1143,205
2876,1579,-89,1352,1041,3027,2576,541,457,1595
649,534,765,1578,1732,1244,2069,1901,1054,2813
1728,1164,2527,231,1032,1201,274,1719,1970,1511
2249,1259,250,1422,582,235,2445,3037,2750,2612
2211,2102,1006,2138,1866,956,2267,2635,979,2732
547,495,2589,1336,1987,2145,520,1500,907,-139
1720,361,603,489,1305,1856,2232,1630,2939,2080
0,2299,750,994,1833,1673,1884,892,2798,2887
2451,161,476,581,2558,2031,673,2372,2746,1033
1977,51,565,849,1293,2100,1734,274,1955,2353
848,1667,2309,2183,1706,552,3009,955,441,528
1075,490,2652,1042,658,2200,1862,1486,697,639
1138,1764,2095,1019,808,1802,1957,1906,1960,431
1189,2954,1157,2196,2009,1240,891,2102,1839,2254
1458,2227,1334,2400,547,814,2669,2024,1549,2295
1206,536,350,1061,1859,284,2612,3041,1411,-197
64,2646,1019,273,2528,2110,644,790,1286,1509
49,93,422,1951,233,2427,3056,792,1045,1997
279,1094,115,2298,528,1304,490,379,2186,1477
1978,2777,969,2114,2348,2200,1023,1129,115,2384
420,2613,2715,164,1294,2898,1453,1235,332,2591
2073,91,1827,1434,653,1573,2357,1582,2172,2084
1772,0,3064,2728,1168,1679,2200,1293,1486,2714
2461,1717,1044,-24,1222,80,983,1477,2184,2334
1862,2874,2086,2006,2810,1256,2402,2256,2691,-266
2084,2450,1261,879,761,2963,2346,1436,1836,2178
2468,2813,569,1484,1305,3031,2892,-61,1383,2334
972,1983,2079,-82,1220,1574,2088,2470,654,1899
924,1854,1856,1880,1048,2945,2745,2341,2365,1748
189,2687,932,2703,1023,2674,2394,2487,2648,2408
2314,-22,1507,971,2065,1769,1045,1890,2296,1990
1796,1930,-14,2392,-133,2924,1523,902,489,1347
3118,1452,2717,1379,1687,3073,2627,-213,2941,2389
2095,-268,1357,2321,530,813,464,1929,2615,1247
1724,1500,2276,2823,1310,2115,925,2028,2860,2012
1953,222,217,828,1840,447,1848,326,2084,711
2230,880,2060,1017,714,319,2567,3078,1491,2523
2061,-54,2803,2259,1600,2108,2343,1302,1131,488
1996,2075,2073,2496,1807,1678,830,1307,279,2692
2431,1978,744,1131,1891,1515,106,261,805,2634
2496,2943,1872,50,569,-343,1438,2989,742,2467
745,625,739,219,2530,959,609,394,1992,781
1603,2830,1488,1841,248,288,2888,1492,1382,2017
925,71,747,1979,2849,1445,1774,2975,692,781
1518,1062,-22,2563,652,2527,1192,2758,581,202
2781,2622,2992,1815,343,446,1009,2036,2727,1101
2192,616,1594,2533,468,495,2744,415,458,507
1258,2470,2215,477,1926,2414,1029,2096,2723,1045
2909,643,1021,1568,-5,2063,331,1405,1616,628
2254,1577,1178,2965,2362,1847,2400,188,2570,742
1028,349,2777,938,1941,2793,628,3009,-24,1549
2061,857,399,2523,315,1479,1978,2628,1029,1166
85,1302,2453,2694,1753,2245,2918,3663,464,1309
1919,-7,1699,1201,2061,2216,1788,1636,-273,79
1885,2432,2225,1266,1237,3330,437,600,2349,2178
1913,584,1154,740,1843,640,2191,263,2598,602
18,1079,2061,1573,330,16,774,3082,2377,1457
1258,2807,2690,1978,478,132,2731,2693,319,2472
1282,840,2013,988,823,2022,1549,201,1382,2328
1702,2255,1218,2410,415,2944,1848,1016,1509,2268
788,8,1882,358,1484,3271,291,171,1452,1743
1078,2000,2884,1292,2181,1105,2062,283,1718,1174
47,2255,2602,84,1560,1422,277,816,1354,1562
1428,974,2706,2662,2735,2959,1021,778,552,1021
854,1363,1218,2072,1183,1020,1403,438,135,985
873,1574,2418,530,1843,2682,-161,2137,2007,798
1055,-8,1900,1104,1841,2696,1675,2892,1780,778
1096,437,2872,2536,2023,1565,2252,2148,2212,1304
817,-1408,1945,1939,95,1855,1968,2236,1246,1991
2260,1340,812,1449,497,278,1561,1698,1444,2619
-5,395,1030,711,643,1178,2930,627,1030,2146
