dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
taxi,0.01,120,265.16747029622394,281.4025166829427,12003.716796875,210.44539896647134,240.2211659749349,17943460.666666668,11673.430013020834,9894.11328125
taxi,0.1,120,182.47504679361978,184.55679829915366,1200.3124186197917,210.1634775797526,277.7821451822917,1799234.4583333333,1181.4714762369792,1850.4298095703125
taxi,0.2,120,178.40660095214844,179.8089345296224,599.8980916341146,209.53386942545572,275.6342061360677,898115.5416666666,598.7107137044271,830.1579793294271
taxi,0.3,120,177.60912068684897,177.3159383138021,400.81458536783856,208.93824259440103,282.37535603841144,598463.1666666666,406.6625467936198,472.84173583984375
taxi,0.4,120,172.55292765299478,176.17606099446616,300.167724609375,208.32699076334634,283.5282694498698,449994.9166666667,311.77065022786456,347.02320353190106
taxi,0.5,120,168.8328399658203,174.35006713867188,240.0423583984375,207.66227213541666,284.23143513997394,359101.4270833333,254.94424947102866,280.7516784667969
taxi,0.6,120,163.54098002115884,172.42657979329428,200.0732625325521,207.05027770996094,283.6444803873698,299592.8541666667,218.4639129638672,236.91648864746094
taxi,0.7,120,157.01244608561197,171.08260599772134,171.30736287434897,206.47423807779947,284.2672831217448,256663.16666666666,192.02654012044272,207.01905822753906
taxi,0.8,120,152.04932657877603,170.75273640950522,149.74859619140625,206.09244791666666,284.20676676432294,224908.61458333334,172.45345560709634,183.45184326171875
taxi,0.9,120,148.59701029459634,167.53137715657553,133.44369506835938,205.4951375325521,283.4774678548177,199862.51041666666,157.50233459472656,165.92845662434897
taxi,1.0,120,145.09715779622397,167.08880615234375,119.93553415934245,204.49761962890625,284.1145324707031,179847.375,145.50255330403647,151.2040761311849
