dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
covid19,0.01,120,4409.174479166667,8675.637044270834,12226.539388020834,7385.93017578125,5356.375813802083,13983.078776041666,13444.268229166666,7225.574544270833
covid19,0.1,120,3738.2051595052085,8557.252278645834,1189.578125,7615.05029296875,5390.39794921875,2633.5834147135415,1620.3191731770833,2198.8787841796875
covid19,0.2,120,3565.11962890625,8473.9287109375,599.0599365234375,7408.754231770833,5391.696940104167,1896.7202962239583,958.784912109375,1246.780497233073
covid19,0.3,120,3474.0948079427085,8478.260091145834,400.58558146158856,7728.776041666667,5394.403971354167,1742.14404296875,714.4847208658854,764.7980753580729
covid19,0.4,120,3392.0436197916665,8467.583658854166,314.5757548014323,7087.8486328125,5394.965657552083,1688.0419108072917,596.7999267578125,474.7942301432292
covid19,0.5,120,3313.3160807291665,8460.272786458334,237.72837829589844,7470.79443359375,5396.109700520833,1637.6697591145833,484.9574890136719,350.852294921875
covid19,0.6,120,3288.2285970052085,8448.861002604166,206.05489095052084,7413.358072916667,5395.83349609375,1596.8142496744792,426.09814453125,291.4685567220052
covid19,0.7,120,3267.9175618489585,8448.437174479166,175.23777770996094,7240.240071614583,5395.82666015625,1592.4871012369792,396.9548034667969,389.5008036295573
covid19,0.8,120,3255.3565266927085,8444.197591145834,155.02833048502603,7661.541829427083,5396.068359375,1594.0861002604167,371.88592529296875,343.2094370524089
covid19,0.9,120,3245.9090169270835,8437.928385416666,124.04693603515625,7257.289713541667,5395.968912760417,1533.854736328125,357.9015808105469,296.33721415201825
covid19,1.0,120,3242.6410319010415,8442.266276041666,118.356689453125,7388.981282552083,5396.486490885417,1558.9062906901042,293.5154266357422,291.5437469482422
