dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
distribution_drift,0.01,120,219.79076639811197,237.20463053385416,12022.474283854166,1123.698974609375,2541.2498372395835,504139.25,11788.5810546875,11089.675455729166
distribution_drift,0.1,120,90.35828145345052,90.85498555501302,1203.998779296875,1124.4121500651042,2548.3641764322915,51088.065104166664,1182.6724039713542,1399.2302652994792
distribution_drift,0.2,120,88.20642598470052,86.94056955973308,599.6216023763021,1126.0760904947917,2548.62548828125,26172.335286458332,589.5201009114584,691.0166625976562
distribution_drift,0.3,120,86.88762664794922,83.31137339274089,399.09364827473956,1125.4083658854167,2548.8631184895835,17905.340494791668,394.42347208658856,458.75250244140625
distribution_drift,0.4,120,84.20130157470703,79.58126322428386,300.0137634277344,1116.8292236328125,2548.7102864583335,13741.187825520834,297.10302734375,341.2362467447917
distribution_drift,0.5,120,80.97812143961589,78.45188903808594,240.71493530273438,1123.4918212890625,2548.8851725260415,11150.055013020834,239.39440409342447,274.2784830729167
distribution_drift,0.6,120,80.4898910522461,77.35291035970052,199.95955403645834,1118.681884765625,2548.9192708333335,9481.779296875,201.7177276611328,229.45891825358072
distribution_drift,0.7,120,76.22085316975911,80.53333791097005,171.41048177083334,1118.7590738932292,2549.0353190104165,8297.549479166666,173.33416748046875,196.22985331217447
distribution_drift,0.8,120,73.80633036295573,78.291259765625,149.88473510742188,1118.9978434244792,2549.0003255208335,7395.20751953125,152.22266642252603,172.57839965820312
distribution_drift,0.9,120,73.33324940999348,74.18178812662761,133.75218709309897,1117.2224527994792,2548.9939778645835,6654.682454427083,137.22830708821616,153.44971211751303
distribution_drift,1.0,120,69.41643778483073,72.3738276163737,119.71092224121094,1115.1361897786458,2548.9615071614585,6094.952311197917,123.73348236083984,139.0838419596354
