dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
energy,0.01,120,191.81914774576822,228.67527770996094,12005.402994791666,43.5617561340332,69.27135912577312,995220.1875,11909.815755208334,13844.166015625
energy,0.1,120,24.94298553466797,26.57608159383138,1190.2273356119792,43.35881805419922,21.656452814737957,98974.59114583333,1187.660888671875,2918.392537434896
energy,0.2,120,20.051239013671875,20.515045166015625,602.5271606445312,42.76355743408203,20.384497960408527,49031.0703125,582.0305989583334,1415.3560180664062
energy,0.3,120,17.76365915934245,18.674997329711914,405.1409505208333,42.536346435546875,22.40109125773112,32508.549479166668,396.21814982096356,762.3418782552084
energy,0.4,120,17.587729771931965,18.031361897786457,298.8071797688802,42.15362294514974,21.63331349690755,24587.527994791668,294.6788635253906,454.96544392903644
energy,0.5,120,17.635756810506184,17.72189776102702,240.09918212890625,41.712713877360024,23.218137741088867,19566.5625,236.07906087239584,291.6491394042969
energy,0.6,120,16.880367279052734,17.673221588134766,199.00863647460938,41.42622502644857,23.44285265604655,16487.675130208332,196.6995646158854,234.94507344563803
energy,0.7,120,17.49337323506673,16.924952189127605,170.36364237467447,41.01759592692057,23.49310302734375,14142.9248046875,169.79238891601562,198.19051615397134
energy,0.8,120,17.533807118733723,17.045825322469074,150.08211263020834,40.58544794718424,23.981552124023438,12242.471354166666,147.37938435872397,163.1024932861328
energy,0.9,120,16.790234247843426,16.930776596069336,133.76610310872397,40.17267100016276,23.072330474853516,10807.274088541666,130.93064880371094,142.86703491210938
energy,1.0,120,17.116819381713867,16.702155431111652,119.3447494506836,39.95454025268555,24.158036549886067,9922.464192708334,119.07198588053386,130.7080103556315
