dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
high_volatility,0.01,120,1056.0382893880208,1065.4110514322917,11995.966471354166,1113.1624755859375,1506.4052734375,500060.0416666667,11766.798828125,9103.704427083334
high_volatility,0.1,120,962.6773681640625,989.7868245442709,1197.7491455078125,1113.460205078125,1510.3001708984375,50776.126302083336,1305.4581298828125,1565.9597574869792
high_volatility,0.2,120,812.3892415364584,949.4835205078125,603.4731241861979,1112.4142252604167,1510.4374186197917,25742.706380208332,756.2768351236979,915.6383463541666
high_volatility,0.3,120,739.7716064453125,885.0359700520834,399.2780354817708,1112.6743570963542,1510.6697184244792,17446.205078125,581.1272989908854,668.9717203776041
high_volatility,0.4,120,653.7237141927084,848.1911010742188,300.33165486653644,1111.1953531901042,1510.76171875,13214.877604166666,494.0228271484375,530.801513671875
high_volatility,0.5,120,678.9833780924479,796.5510050455729,240.41908264160156,1110.3119710286458,1510.8235270182292,10758.880208333334,442.2630920410156,436.66065470377606
high_volatility,0.6,120,409.6155700683594,746.8694458007812,199.78955078125,1111.983154296875,1510.8558756510417,9107.460611979166,404.30096435546875,376.8648681640625
high_volatility,0.7,120,429.9886881510417,717.7892456054688,171.54827880859375,1108.7608642578125,1510.8811848958333,7837.912109375,372.5819091796875,329.06322224934894
high_volatility,0.8,120,442.43004353841144,705.2742309570312,150.17935689290366,1107.7238362630208,1510.8837076822917,6995.101399739583,350.50941975911456,291.83628336588544
high_volatility,0.9,120,651.0712280273438,674.22705078125,133.33224487304688,1107.8120524088542,1510.8814697265625,6309.80517578125,331.3379618326823,263.2115173339844
high_volatility,1.0,120,626.2170817057291,639.6831665039062,119.78248596191406,1106.5511881510417,1510.9088541666667,5733.122884114583,314.65306599934894,240.62333170572916
