dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
unemp,0.01,120,298.7938944498698,485.192626953125,11930.7490234375,150.65824381510416,248.06285603841147,30327.072265625,11440.253580729166,6132.421691894531
unemp,0.1,120,118.33779652913411,122.17848205566406,1222.4231770833333,148.57068379720053,270.1627705891927,2999.7078450520835,1118.8377685546875,2080.9369913736978
unemp,0.2,120,75.25833384195964,120.9673589070638,580.4467366536459,148.66407775878906,270.3540954589844,1704.0460611979167,586.7014363606771,617.3622436523438
unemp,0.3,120,83.37803395589192,95.41712188720703,406.02443440755206,154.6052449544271,273.1851094563802,1199.4175618489583,392.2810872395833,770.2501118977865
unemp,0.4,120,81.18560282389323,77.02022552490234,301.76500447591144,152.36396280924478,272.3963317871094,925.8050944010416,315.82347615559894,353.26405843098956
unemp,0.5,120,71.49807484944661,83.39649454752605,259.54698181152344,148.84717305501303,272.2389221191406,734.3788248697916,239.39384969075522,265.9273427327474
unemp,0.6,120,78.84842681884766,70.08430480957031,202.00541178385416,145.2497355143229,274.2913818359375,640.0847778320312,214.13823954264322,214.00721740722656
unemp,0.7,120,71.23136901855469,79.00966771443684,170.49889628092447,146.07976786295572,274.1689758300781,583.9221598307291,174.47264607747397,181.34545389811197
unemp,0.8,120,66.46560414632161,71.77568054199219,155.01837666829428,140.70925903320312,273.0071207682292,532.9821370442709,145.12659200032553,175.8565470377604
unemp,0.9,120,67.16697184244792,75.7310078938802,129.93949381510416,143.4921875,273.8173014322917,470.7954406738281,130.04644521077475,144.36176554361978
unemp,1.0,120,65.99934387207031,72.21041870117188,124.9744364420573,147.13445536295572,273.32867431640625,412.7696126302083,120.21370697021484,140.058349609375
