dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
taxi,0.01,120,1.7736387252807617,1.8597346941630046,75.66934712727864,1.67355211575826,0.828900933265686,113447.85677083333,73.52455139160156,62.053908030192055
taxi,0.1,120,1.278035044670105,1.2732641299565632,7.575667381286621,1.6727702220280964,0.9508745074272156,11334.679361979166,7.444569110870361,12.152312914530436
taxi,0.2,120,1.2427138884862263,1.2631802161534627,3.7844974199930825,1.6675889094670613,0.9371877710024515,5642.28955078125,3.8010307153066,5.368348439534505
taxi,0.3,120,1.2434119780858357,1.2446038722991943,2.5250845750172934,1.6618830760320027,0.9790315826733907,3772.2574055989585,2.594531536102295,2.964195489883423
taxi,0.4,120,1.2102330923080444,1.2266944646835327,1.893764058748881,1.656247854232788,0.9862980445226034,2836.0775553385415,1.9954649607340496,2.1419158776601157
taxi,0.5,120,1.1697787046432495,1.2237205505371094,1.5105290810267131,1.6497806310653687,0.990715483824412,2259.2840169270835,1.6431260108947754,1.7292790810267131
taxi,0.6,120,1.1376389265060425,1.2065759499867756,1.260900656382243,1.6454672416051228,0.9869791269302368,1890.6343587239583,1.4143794377644856,1.4628039201100667
taxi,0.7,120,1.0900789896647136,1.1964918375015259,1.0796270767847698,1.6412042776743572,0.9908878405888876,1614.086181640625,1.254116455713908,1.2826567490895588
taxi,0.8,120,1.052992622057597,1.1972028017044067,0.9422547221183777,1.635806918144226,0.9904786944389343,1414.80810546875,1.1325387557347615,1.1413451035817463
taxi,0.9,120,1.0282190243403118,1.171000878016154,0.8408036033312479,1.633608102798462,0.9858525196711222,1263.8387858072917,1.0362863540649414,1.0352752208709717
taxi,1.0,120,1.0005823572476704,1.1672469774882,0.7556220690409342,1.621870716412862,0.9898365338643392,1132.5091552734375,0.9644553065299988,0.9476167360941569
