dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
energy,0.01,120,19.322078069051106,22.646250406901043,1206.0768636067708,5.365019957224528,7.842041810353597,98244.83333333333,1208.0179443359375,1393.0222778320312
energy,0.1,120,2.6893770694732666,2.844710906346639,118.60070292154948,5.390390555063884,1.0036282539367676,9940.586588541666,119.55766042073567,294.0851084391276
energy,0.2,120,2.311134656270345,2.361357847849528,60.27704620361328,5.330025990804036,1.1508208513259888,4815.734212239583,58.9834098815918,143.89066314697266
energy,0.3,120,2.0834340254465737,2.2341837088267007,40.35991668701172,5.243955771128337,0.8859709103902181,3312.837890625,39.927084604899086,77.14551289876302
energy,0.4,120,2.0600873629252114,2.0074613094329834,30.34398142496745,5.261558532714844,0.8997015953063965,2440.881591796875,29.420326868693035,46.18738301595052
energy,0.5,120,2.0378840366999307,2.107769807179769,24.568121592203777,5.178953488667806,0.8951720595359802,1954.8262939453125,23.479464213053387,29.23046811421712
energy,0.6,120,2.028390804926554,2.1136911710103354,20.0742613474528,5.127617518107097,0.9002390702565511,1667.6780598958333,19.983233133951824,23.47808583577474
energy,0.7,120,2.071105202039083,2.067776362101237,17.116124471028645,5.132166226704915,0.9001826643943787,1418.048095703125,17.09999402364095,20.079118728637695
energy,0.8,120,2.068794926007589,1.9688324133555095,15.27487595876058,5.037015279134114,0.9209545453389486,1249.4763590494792,14.70574919382731,16.26393763224284
energy,0.9,120,2.0104355017344155,1.9901398817698162,13.523207346598307,5.0406114260355634,0.8893798987070719,1104.6968994140625,13.271537780761719,14.525827089945475
energy,1.0,120,2.124776760737101,2.015102426211039,12.15712833404541,4.966924667358398,0.9260643124580383,1018.5396118164062,12.107051849365234,13.333263079325357
