dataset,epsilon,window_size,Mirror-Smoothing,SPAS,Naive,BucOrder,CompOrder,DPI,PeGaSus,AdaPub
low_volatility,0.01,120,0.4478272000948588,0.44895411531130475,13.168261528015137,0.49413828055063885,0.992099384466807,551.9885660807291,12.846895853678385,10.582361539204916
low_volatility,0.1,120,0.37055888772010803,0.37243741750717163,1.3247026205062866,0.4939422806104024,0.9989592234293619,55.60600662231445,1.3131850163141887,1.6500461498896282
low_volatility,0.2,120,0.36317959427833557,0.36238065361976624,0.6583248972892761,0.4942277173201243,0.999568243821462,28.026575724283855,0.684108555316925,0.7593882083892822
low_volatility,0.3,120,0.34189318617184955,0.3562273482481639,0.4419676562150319,0.49376510580380756,0.9997779528299967,18.91973813374837,0.47572673360506695,0.5276089906692505
low_volatility,0.4,120,0.32566750049591064,0.3503080407778422,0.32948007186253864,0.4925763010978699,0.9997857213020325,14.245710372924805,0.37597625454266864,0.40720056494077045
low_volatility,0.5,120,0.3109617531299591,0.34567496180534363,0.2636314829190572,0.4914412299791972,0.999730666478475,11.540641148885092,0.31663577755292255,0.33174702525138855
low_volatility,0.6,120,0.3004305859406789,0.33630319436391193,0.21988489727179208,0.4911819597085317,0.9998647769292196,9.67567507425944,0.277790645758311,0.2812724808851878
low_volatility,0.7,120,0.28519044319788617,0.3320808211962382,0.1885134776433309,0.48896437883377075,0.999846339225769,8.372918128967285,0.24994048476219177,0.24506978193918863
low_volatility,0.8,120,0.2743957241376241,0.3306034604708354,0.16525307794411978,0.4888278941313426,0.9998596707979838,7.408030351003011,0.22983642915884653,0.21830888589223227
low_volatility,0.9,120,0.26152191559473675,0.3227546513080597,0.14642232159773508,0.48850351572036743,0.9998659094174703,6.644633134206136,0.2125509331623713,0.1967904418706894
low_volatility,1.0,120,0.25887444615364075,0.31885865330696106,0.13168522715568542,0.48721717794736225,0.9998623728752136,6.007086594899495,0.2011084407567978,0.17928394675254822
